X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-102.537915,38.033327,1,508,Lamar Plant,City of Lamar - (CO),10633,Electric Utility,Lamar,Prowers,Colorado,81052,100 North Second Street,wind,8,7.5,0,0,2,0,0,0,0,5.5,"Petroleum = 2 MW, Wind = 5.5 MW","Petroleum Liquids; Onshore Wind Turbine;","EIA-860, EIA-860M and EIA-923",202001,38.033327,-102.537915,0,0,0,0
-106.242778,41.835278,2,692,Medicine Bow,SRIV Partnership LLC,62042,IPP Non-CHP,Medicine Bow,Carbon,Wyoming,82329,475 Carbon Co. Rd. 3,wind,6.1,6.1,0,0,0,0,0,0,0,6.1,Wind = 6.1 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,41.835278,-106.242778,0,0,0,0
-72.9628,42.8625,3,7381,Searsburg Wind Turbine,Green Mountain Power Corp,7601,Electric Utility,Searsburg,Bennington,Vermont,5363,528 Sleepy Hollow Road,wind,6,5.2,0,0,0,0,0,0,0,5.2,Wind = 5.2 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.8625,-72.9628,0,0,0,0
-71.9,42.4789,4,7501,Princeton Wind Farm,Town of Princeton - (MA),15371,Electric Utility,Princeton,Worcester,Massachusetts,1541,Westminster Road,wind,3,3,0,0,0,0,0,0,0,3,Wind = 3 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.4789,-71.9,0,0,0,0
-121.769031,38.116415,5,7526,Solano Wind,Sacramento Municipal Util Dist,16534,Electric Utility,Rio Vista,Solano,California,94512,Highway 12,wind,228.2,228.1,0,0,0,0,0,0,0,228.1,Wind = 228.1 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,38.116415,-121.769031,0,0,0,0
-99.777467,42.82579,6,7771,Springview,Bluestem LLC,58190,IPP Non-CHP,Springview,Keya Paha,Nebraska,68778,West Highway 12,wind,3,3,0,0,0,0,0,0,0,3,Wind = 3 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.82579,-99.777467,0,0,0,0
-96.7347,46.895,7,7855,Moorhead Wind Turbine,City of Moorhead - (MN),12894,Electric Utility,Moorhead,Clay,Minnesota,56560,2200 28th St. N.,wind,1.4,1.4,0,0,0,0,0,0,0,1.4,Wind = 1.4 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,46.895,-96.7347,0,0,0,0
-87.6333,44.6694,8,7886,Wind Turbine,Madison Gas & Electric Co,11479,Electric Utility,Casco,Kewaunee,Wisconsin,54205,E2680 Eagle Road,wind,11,0.8,0,0,0,0,0,0,0,0.8,Wind = 0.8 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.6694,-87.6333,0,0,0,0
-84.338733,36.120994,9,7927,Buffalo Mountain,Tennessee Valley Authority,18642,Electric Utility,Oliver Springs,Anderson,Tennessee,37840,1980 Windrock Rd,wind,1.8,2.1,0,0,0,0,0,0,0,2.1,Wind = 2.1 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,36.120994,-84.338733,0,0,0,0
-119.0964,46.0958,10,7936,Nine Canyon,Energy Northwest,20160,Electric Utility,Kennewick,Benton,Washington,99336,92308 S. Nine Canyon Road,wind,95.9,95,0,0,0,0,0,0,0,95,Wind = 95 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,46.0958,-119.0964,0,0,0,0
