, SEQPLT16 , PSTATABB , PNAME ,ORISPL, OPRNAME ,OPRCODE, UTLSRVNM ,UTLSRVID,BANAME,BACODE, NERC , FIPSST , FIPSCNTY , CNTYNAME , PLPRMFL , PLFUELCT ,NAMEPCAP,PLC2ERTA,PLGENATN,PLGENATR,PLTNPR,PLTRPR,LAT,LON,cap,non_renewable_pct,renewable_pct,emission_rate,county_geoid
0,1, AK , 7-Mile Ridge Wind Project ,60814, Alaska Power and Telephone Co ,219, Alaska Power and Telephone Co ,219, Alaska Miscellaneous , NA , NA ,2.0,240.0, Southeast Fairbanks , WND , WIND ,1.80,,,,,,63.21,-143.25,1.8,,,,0224072030
1,2, AK , Agrium Kenai Nitrogen Operations ,54452, Homer Electric Assn Inc ,19558, Agrium US Inc ,179, Alaska Miscellaneous , NA , ASCC ,2.0,122.0, Kenai Peninsula , NG , GAS ,21.60,,,,,,60.67,-151.38,21.6,,,,0212238460
2,3, AK , Alakanuk ,57053," Alaska Village Elec Coop, Inc ",221," Alaska Village Elec Coop, Inc ",221, Alaska Miscellaneous , NA , ASCC ,2.0,270.0, Wade Hampton , DFO , OIL ,2.60,785.184,"1,213.0",0.0,100.0,0.0,62.68,-164.65,2.6,100.0,0.0,785.184,0215842185
3,4, AK , Allison Creek Hydro ,58982," Copper Valley Elec Assn, Inc ",4329," Copper Valley Elec Assn, Inc ",4329, Alaska Miscellaneous , NA , ASCC ,2.0,261.0, Valdez Cordova , WAT , HYDRO ,6.50,0.000,0.0,881.0,0.0,100.0,61.08,-146.35,6.5,0.0,100.0,0.0,0206314420
4,5, AK , Ambler ,60243," Alaska Village Elec Coop, Inc ",221," Alaska Village Elec Coop, Inc ",221, Alaska Miscellaneous , NA , NA ,2.0,188.0, Northwest Arctic , DFO , OIL ,1.10,749.939,"1,316.0",0.0,100.0,0.0,67.09,-157.86,1.1,100.0,0.0,749.939,0218856270
5,6, AK , Anchorage 1 ,75, Anchorage Municipal Light and Power ,599, Anchorage Municipal Light and Power ,599, Anchorage Municipal Light & Power , AMPL , ASCC ,2.0,20.0, Anchorage , NG , GAS ,121.40,641.985,"45,082.0",0.0,100.0,0.0,61.22,-149.87,121.4,100.0,0.0,641.985,0202003050
6,7, AK , Angoon ,7462," Inside Passage Elec Coop, Inc ",18963," Inside Passage Elec Coop, Inc ",18963, Alaska Miscellaneous , NA , ASCC ,2.0,105.0, Hoonah-Angoon , DFO , OIL ,1.90,756.688,"1,714.0",0.0,100.0,0.0,57.5,-134.59,1.9,100.0,0.0,756.688,
7,8, AK , Aniak ,7182, Aniak Light & Power Co Inc ,4959, Aniak Light & Power Co Inc ,4959, Alaska Miscellaneous , NA , ASCC ,2.0,50.0, Bethel , DFO , OIL ,2.60,752.231,"2,614.0",0.0,100.0,0.0,61.58,-159.54,2.6,100.0,0.0,752.231,0205003580
8,9, AK , Annex Creek ,62, Alaska Electric Light&Power Co ,213, Alaska Electric Light&Power Co ,213, Alaska Miscellaneous , NA , ASCC ,2.0,110.0, Juneau , WAT , HYDRO ,4.00,0.000,0.0,"25,644.0",0.0,100.0,58.32,-134.1,4.0,0.0,100.0,0.0,0211036450
9,10, AK , Auke Bay ,7250, Alaska Electric Light&Power Co ,213, Alaska Electric Light&Power Co ,213, Alaska Miscellaneous , NA , ASCC ,2.0,110.0, Juneau , DFO , OIL ,36.20,"27,664.510",8.0,0.0,100.0,0.0,58.39,-134.65,36.2,100.0,0.0,27664.51,0211036450
