Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,MWh,Series,Category
2019.0,AK,Total Electric Industry,1928208.0,2638846.0,1251751.0,0.0,,5818805.0,AK,Demand
2019.0,AL,Total Electric Industry,32415646.0,23076470.0,32602996.0,0.0,,88095112.0,AL,Demand
2019.0,AR,Total Electric Industry,18732316.0,11948689.0,17411611.0,416.0,,48093032.0,AR,Demand
2019.0,AZ,Total Electric Industry,34720050.0,29415272.0,13782704.0,11144.0,,77929170.0,AZ,Demand
2019.0,CA,Total Electric Industry,87523987.0,114279373.0,47807729.0,767621.0,,250378710.0,CA,Demand
2019.0,CO,Total Electric Industry,19404743.0,21111259.0,15891020.0,113801.0,,56520823.0,CO,Demand
2019.0,CT,Total Electric Industry,12493550.0,12157788.0,3071792.0,176866.0,,27899996.0,CT,Demand
2019.0,DC,Total Electric Industry,2546920.0,7952305.0,179632.0,349546.0,,11028403.0,DC,Demand
2019.0,DE,Total Electric Industry,5004131.0,4421465.0,2043826.0,0.0,,11469422.0,DE,Demand
2019.0,FL,Total Electric Industry,127181551.0,96566532.0,16514482.0,85390.0,,240347955.0,FL,Demand
2019.0,GA,Total Electric Industry,59331491.0,47411823.0,32393384.0,164292.0,,139300990.0,GA,Demand
2019.0,HI,Total Electric Industry,2759774.0,3057866.0,3635247.0,0.0,,9452887.0,HI,Demand
2019.0,IA,Total Electric Industry,14494821.0,12309610.0,24238717.0,0.0,,51043148.0,IA,Demand
2019.0,ID,Total Electric Industry,8696843.0,6440943.0,8847489.0,0.0,,23985275.0,ID,Demand
2019.0,IL,Total Electric Industry,45220258.0,49278746.0,43250445.0,570032.0,,138319481.0,IL,Demand
2019.0,IN,Total Electric Industry,33249234.0,23517681.0,45316682.0,20606.0,,102104203.0,IN,Demand
2019.0,KS,Total Electric Industry,13630661.0,15916325.0,11612642.0,0.0,,41159628.0,KS,Demand
2019.0,KY,Total Electric Industry,26573076.0,19611510.0,29160796.0,0.0,,75345382.0,KY,Demand
2019.0,LA,Total Electric Industry,30986024.0,24284298.0,37846317.0,11886.0,,93128525.0,LA,Demand
2019.0,MA,Total Electric Industry,19314571.0,25336834.0,6341699.0,343494.0,,51336598.0,MA,Demand
2019.0,MD,Total Electric Industry,27533693.0,28893335.0,3718412.0,575218.0,,60720658.0,MD,Demand
2019.0,ME,Total Electric Industry,4793809.0,4148305.0,2789926.0,0.0,,11732040.0,ME,Demand
2019.0,MI,Total Electric Industry,33495725.0,37860783.0,29886432.0,6353.0,,101249293.0,MI,Demand
2019.0,MN,Total Electric Industry,22288152.0,22904299.0,21748034.0,25109.0,,66965594.0,MN,Demand
2019.0,MO,Total Electric Industry,35691426.0,30133114.0,13009718.0,23517.0,,78857775.0,MO,Demand
2019.0,MS,Total Electric Industry,18717858.0,14238982.0,15994186.0,0.0,,48951026.0,MS,Demand
2019.0,MT,Total Electric Industry,5308103.0,4956080.0,5057088.0,0.0,,15321271.0,MT,Demand
2019.0,NC,Total Electric Industry,59852793.0,49173038.0,27391009.0,18691.0,,136435531.0,NC,Demand
2019.0,ND,Total Electric Industry,5125431.0,7035031.0,9398793.0,0.0,,21559255.0,ND,Demand
2019.0,NE,Total Electric Industry,10307905.0,9456725.0,10618560.0,0.0,,30383190.0,NE,Demand
2019.0,NH,Total Electric Industry,4506830.0,4280854.0,1923973.0,0.0,,10711657.0,NH,Demand
2019.0,NJ,Total Electric Industry,28612555.0,38012684.0,6990063.0,301402.0,,73916704.0,NJ,Demand
